Country Code,Country Name,Region,rank_balanced,target_tuition_usd,compact_capex_usd_mn,compact_capex_rub_mn,compact_opex_usd_mn,compact_opex_rub_mn,compact_breakeven_students,standard_capex_usd_mn,standard_capex_rub_mn,standard_opex_usd_mn,standard_opex_rub_mn,standard_breakeven_students,campus_capex_usd_mn,campus_capex_rub_mn,campus_opex_usd_mn,campus_opex_rub_mn,campus_breakeven_students
KEN,Kenya,Sub-Saharan Africa,42,3000.0,2.0277101891561666,148.7195650293942,0.5907125788150693,43.324987095580916,197.0,4.694275472890416,344.2950625734855,1.0635201681388147,78.00239780390596,355.0,13.65140126104111,1001.2429135292947,2.644275472890416,193.9406825734855,881.0
KGZ,Kyrgyz Republic,Europe & Central Asia,43,3000.0,1.9936952787173319,146.22478904413248,0.576539699465555,42.28549710172187,192.0,4.60923819679333,338.0581226103312,1.0332846921931842,75.78481915034001,344.0,13.424635191448882,984.6110736275501,2.5592381967933298,187.70374261033126,853.0
IRQ,Iraq,Middle East & North Africa,44,3000.0,2.2058253391912355,161.78317134750628,0.6649272246630147,48.76815639479428,222.0,5.139563347978088,376.9540783687657,1.2218447459477648,89.61449230889448,407.0,14.838835594608238,1088.3336223167087,3.089563347978088,226.5996983687657,1030.0
AZE,Azerbaijan,Europe & Central Asia,45,3972.9868408291763,1.9725768328729705,144.67588619950197,0.5677403470304044,41.64012091645917,143.0,4.556442082182427,334.185865498755,1.0145127403315295,74.40801662177957,255.0,13.283845552486472,974.2850546633467,2.5064420821824265,183.831485498755,631.0
ECU,Ecuador,Latin America & Caribbean,46,3000.0,2.231203400390478,163.64448971687904,0.6755014168293658,49.54370571536627,225.0,5.203008500976194,381.60737429219756,1.2444030225693137,91.2689975261147,415.0,15.008022669269852,1100.7424114458602,3.1530085009761946,231.2529942921976,1051.0
TZA,Tanzania,Sub-Saharan Africa,47,3000.0,1.9560870646083806,143.4664672318112,0.5608696102534919,41.13619634658801,187.0,4.515217661520952,331.16231807952806,0.9998551685407828,73.33297753938776,333.0,13.173913764055872,966.2222615454082,2.4652176615209513,180.80793807952804,822.0
BGD,Bangladesh,South Asia,48,3000.0,1.9339079905320236,141.83977409438452,0.551628329388343,40.45840753932688,184.0,4.459769976330058,327.0955852359612,0.9801404360284653,71.88702808389735,327.0,13.026053270213492,955.3776406292302,2.4097699763300584,176.74120523596125,803.0
ARM,Armenia,Europe & Central Asia,49,3614.181281727189,2.124804547191449,155.84081478739077,0.6311685613297704,46.29217449474614,175.0,4.937011367978623,362.0981869684769,1.1498262641701769,84.33239758879178,318.0,14.298696981276327,1048.7179119159384,2.8870113679786225,211.7438069684769,799.0
KHM,Cambodia,East Asia & Pacific,50,3000.0,2.0437314608035475,149.89462276859106,0.5973881086681447,43.81459448691294,199.0,4.734328652008869,347.23270692147764,1.0777612984920424,79.04689357208096,359.0,13.758209738690319,1009.0766317906072,2.684328652008869,196.87832692147768,895.0
TUN,Tunisia,Middle East & North Africa,51,3000.0,1.9682868957048674,144.3612467638195,0.5659528732103614,41.509021151591455,189.0,4.545717239262169,333.39926690954877,1.010699462848771,74.12833712339513,337.0,13.255245971365783,972.1874584254633,2.4957172392621683,183.04488690954875,832.0
SYR,Syrian Arab Republic,Middle East & North Africa,52,3000.0,1.9,139.35284,0.5375,39.422185,179.0,4.375,320.87825,0.9500000000000001,69.67642,317.0,12.8,938.79808,2.325,170.52387,775.0
PAK,Pakistan,Middle East & North Africa,53,3000.0,1.9,139.35284,0.5375,39.422185,179.0,4.375,320.87825,0.9500000000000001,69.67642,317.0,12.8,938.79808,2.325,170.52387,775.0
GTM,Guatemala,Latin America & Caribbean,54,3000.0,2.220429939058276,162.85432527831455,0.6710124746076147,49.21447053263105,224.0,5.176074847645689,379.6319631957863,1.234826612496245,90.56662913627959,412.0,14.936199593721838,1095.474648522097,3.1260748476456888,229.27758319578632,1042.0
PRY,Paraguay,Latin America & Caribbean,55,3000.0,2.073470829147625,152.07581510467176,0.6097795121448437,44.72342462694656,203.0,4.808677072869062,352.68568776167933,1.1041962925756668,80.98573120415267,368.0,13.9564721943175,1023.617914031145,2.7586770728690624,202.33130776167934,920.0
BRN,Brunei Darussalam,East Asia & Pacific,56,14000.0,2.1139594675548548,155.04539760455623,0.6266497781478559,45.96075066856508,45.0,4.909898668887136,360.1096440113905,1.140186193382093,83.62536009293886,81.0,14.226396450365698,1043.4151306970416,2.859898668887136,209.75526401139055,204.0
LBY,Libya,Middle East & North Africa,57,3000.0,2.276667606040569,166.97899823039708,0.6944448358502371,50.933084262665446,231.0,5.316669015101422,389.94364557599266,1.2848156498138392,94.23300509368629,428.0,15.311117373603794,1122.9724682026472,3.2666690151014226,239.58926557599267,1089.0
