Country Code,Country Name,Region,IncomeGroup,student_pool_2026,student_pool_2035,student_pool_2050,student_pool_growth_2026_2050_pct,gdp_pc_ppp,gdp_growth,trade_gdp,services_share,tertiary_enrollment,internet_users,urban_share,gov_effectiveness,reg_quality,rule_of_law,pol_stability,target_tuition_usd,standard_capex_usd_mn,standard_capex_rub_mn,standard_opex_usd_mn,standard_opex_rub_mn,standard_breakeven_students,data_coverage_pct
COL,Colombia,Latin America & Caribbean,Upper middle income,10395020.269001603,10376124.83916181,10360714.03564149,-0.3300256514402022,18477.214666453576,1.598331536652296,37.025468707788754,58.14297191767456,59.2901382446289,79.34543299,78.5210811866115,-0.5311454385519029,0.707239881157873,-3.207910537719727,-5.021192610263824,3325.8986399616438,4.8445117901569965,355.31393493255865,1.1169375253891545,81.92021908713198,336.0,100.0
KWT,Kuwait,Middle East & North Africa,High income,753448.2681160613,975086.449692053,1206414.0875228366,60.119033857411466,46137.46742548454,-2.5601109996751745,96.07978815819996,55.8544139729526,51.8967176944636,100.0,100.0,0.0527818948030471,2.246450781822205,2.391679406166077,2.857254356145861,8304.744136587216,6.057391991095178,444.2709352380882,1.5481838190560635,113.54937475132031,186.0,100.0
PER,Peru,Latin America & Caribbean,Upper middle income,6999950.757457024,7311065.160617269,7575956.458625974,8.228710759934032,15661.749771195591,3.303940981715158,51.47588786726472,51.29361055076753,71.2404708862305,81.95705992,85.1912729600355,-3.443109512329102,2.045436292886736,-3.766928672790528,-3.6524989008903503,3000.0,5.38654527062735,395.068621710784,1.3096605406675024,96.05521883050102,437.0,100.0
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,2357488.299452207,2366002.1365041905,2372981.729615453,0.6572007236195443,24229.889487291515,4.953522044928491,51.783514395232565,59.81219256352568,57.6509476207267,91.0022446,72.4121874752151,0.8962408900260901,1.198308363556864,-0.9001459777355219,1.6730981022119489,4361.380107712473,5.026961657599112,368.6954650302862,1.1818085893685732,86.67809645521288,271.0,100.0
MEX,Mexico,Latin America & Caribbean,Upper middle income,27115174.42467111,27651920.42215163,28098674.74115548,3.6271214821672615,22039.628701901565,1.427427690804663,74.58890798251433,58.10376044985082,48.203441619873,83.12233799,79.7538805976118,-1.388530090451238,-1.203918159008026,-5.644757449626924,-4.415327191352848,3967.1331663422816,5.687851689425835,417.1675191685727,1.4167917117958524,103.91260459327027,357.0,100.0
IND,India,South Asia,Lower middle income,315419887.7026989,324772655.4347876,332628737.20734257,5.455854299480323,9818.042706866394,6.494765523838211,44.64929350696764,49.87444022550503,34.4465039692543,70.0,35.3788972368389,3.32577100396156,-0.9587870687246322,1.318551957607269,-4.445538580417634,3000.0,4.375,320.87825,0.95,69.67642,317.0,100.0
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,14674754.809641024,13487234.170568764,12591716.44320991,-14.19470644281292,17484.13201404669,3.6631205683071775,52.06213067943476,49.78746557069355,58.6838607788086,85.3404007,77.0201263427734,-7.156778454780568,-11.81231474876404,-7.426684498786912,-11.858706831932102,3147.143762528404,4.425198602617419,324.5599962309309,0.9678483920417492,70.98548532655323,308.0,100.0
JOR,Jordan,Middle East & North Africa,Lower middle income,2653134.4949587034,3048669.8586884253,3417399.32384094,28.806109540787997,9520.250644974538,2.488894096036475,99.67944773657244,60.39207615510124,35.9184001120427,95.62244985,92.9501393764286,2.703494578599927,1.5239382088184383,1.8043768703937548,-1.41913941502571,3000.0,5.170385250748133,379.2146676767707,1.2328036447104471,90.41825739618515,411.0,100.0
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,25158826.93988241,28160745.57479989,30890333.727558155,22.78129581069624,16798.151577864,2.3991692678251013,39.60075208737333,48.932455490468,38.0398346509947,74.64839935,42.8004363938404,-1.676618814468381,-4.658194065093995,-1.289248988032341,-6.067350149154664,3023.66728401552,4.375,320.87825,0.95,69.67642,314.0,100.0
MAR,Morocco,Middle East & North Africa,Lower middle income,7427954.526874524,7510254.135214382,7578199.386551594,2.022694930797986,9162.7470703125,3.79336515978963,92.18724460624036,52.72686167764383,48.1839617510572,91.2,62.7998124018197,-0.2514057718217373,-0.4494559541344642,-0.8925414979457831,-2.574328571558002,3000.0,5.04444568539647,369.9778065714445,1.1880251325854114,87.13404011429138,396.0,100.0
OMN,Oman,Middle East & North Africa,High income,993745.0223533836,1118865.5101234152,1233271.1712024128,24.103380994229703,36721.08046341856,1.6316322112744928,114.85267152201726,46.013700099547,42.226921081543,95.25174678,79.4440302814714,1.922292619943619,3.041762292385102,4.289684712886811,4.106365680694577,6609.794483415341,5.436946815815206,398.7652524804241,1.3275810900676288,97.36957643748411,201.0,100.0
GEO,Georgia,Europe & Central Asia,Upper middle income,519628.1625566595,478595.46298780007,447589.8774160873,-13.863429723695395,24883.908116163868,9.679793875006908,103.45647144905574,61.98458893460389,89.4861221313477,83.79855689,61.0789605093733,5.539001107215883,6.626047015190126,1.240955367684361,-2.3488788604736355,4479.103460909496,4.720270559033124,346.20163577350183,1.0727628654339996,78.68029049724508,240.0,100.0
GHA,Ghana,Sub-Saharan Africa,Lower middle income,8095889.876785631,9420474.736899735,10670116.312775306,31.7967076524976,7055.624960093233,5.590454695932664,69.78842273905916,40.936949539029584,21.330810546875,72.17569733,58.3654868038581,-0.648631125688553,-1.26456540822983,-0.6974652186036109,-0.1513449270278218,3000.0,4.591456320035604,336.7539357541633,1.0269622471237705,75.32110826814697,342.0,100.0
BHR,Bahrain,Middle East & North Africa,High income,257737.61259744305,259304.35860351013,260591.7651778726,1.1073869085950871,58891.83048607366,2.6037967064845446,157.81849214758608,53.186143865182665,58.3677241853667,100.0,100.0,4.880391240119934,7.54589700698855,3.281393110752106,-2.617773115634915,10600.52948749326,5.243405726807839,384.5702522647034,1.2587664806427874,92.32246524967232,119.0,100.0
DZA,Algeria,Middle East & North Africa,Upper middle income,7954031.928584033,8062508.556933138,8152280.23768432,2.492425362134276,15501.919700396596,3.699999999079793,40.13457411707029,46.79498470024742,54.4283410150344,77.4178009,75.2792907190618,-4.690945982933043,-6.636610090732574,-4.748550772666932,-4.045196890830991,3000.0,4.719203616288151,346.12338235159166,1.0723835080135649,78.65246705834369,357.0,100.0
