iso3,country,model,student_attraction_index,rank_practical_student_recruitment,rank_reference_all,student_recruitment_status
VGB,British Virgin Islands,SAI_MGIMO_V3,,,,unfriendly_reference_only
BGR,Bulgaria,SAI_MGIMO_V3,,,,unfriendly_reference_only
CAN,Canada,SAI_MGIMO_V3,,,,unfriendly_reference_only
CYM,Cayman Islands,SAI_MGIMO_V3,,,,unfriendly_reference_only
CHI,Channel Islands,SAI_MGIMO_V3,,,,data_unavailable
HRV,Croatia,SAI_MGIMO_V3,,,,unfriendly_reference_only
CUW,Curaçao,SAI_MGIMO_V3,,,,special_territory_reference_only
CYP,Cyprus,SAI_MGIMO_V3,,,,unfriendly_reference_only
CZE,Czechia,SAI_MGIMO_V3,,,,unfriendly_reference_only
DNK,Denmark,SAI_MGIMO_V3,,,,unfriendly_reference_only
DMA,Dominica,SAI_MGIMO_V3,,,,data_unavailable
EST,Estonia,SAI_MGIMO_V3,,,,unfriendly_reference_only
FRO,Faroe Islands,SAI_MGIMO_V3,,,,special_territory_reference_only
FIN,Finland,SAI_MGIMO_V3,,,,unfriendly_reference_only
FRA,France,SAI_MGIMO_V3,,,,unfriendly_reference_only
PYF,French Polynesia,SAI_MGIMO_V3,,,,special_territory_reference_only
DEU,Germany,SAI_MGIMO_V3,,,,unfriendly_reference_only
GIB,Gibraltar,SAI_MGIMO_V3,,,,unfriendly_reference_only
GRC,Greece,SAI_MGIMO_V3,,,,unfriendly_reference_only
GRL,Greenland,SAI_MGIMO_V3,,,,special_territory_reference_only
GUM,Guam,SAI_MGIMO_V3,,,,special_territory_reference_only
HTI,Haiti,SAI_MGIMO_V3,,,,data_unavailable
HKG,"Hong Kong SAR, China",SAI_MGIMO_V3,,,,special_territory_reference_only
HUN,Hungary,SAI_MGIMO_V3,,,,unfriendly_reference_only
ISL,Iceland,SAI_MGIMO_V3,,,,unfriendly_reference_only
IRL,Ireland,SAI_MGIMO_V3,,,,unfriendly_reference_only
IMN,Isle of Man,SAI_MGIMO_V3,,,,unfriendly_reference_only
ITA,Italy,SAI_MGIMO_V3,,,,unfriendly_reference_only
JPN,Japan,SAI_MGIMO_V3,,,,unfriendly_reference_only
KIR,Kiribati,SAI_MGIMO_V3,,,,data_unavailable
KOR,"Korea, Rep.",SAI_MGIMO_V3,,,,unfriendly_reference_only
XKX,Kosovo,SAI_MGIMO_V3,,,,special_territory_reference_only
LVA,Latvia,SAI_MGIMO_V3,,,,unfriendly_reference_only
LIE,Liechtenstein,SAI_MGIMO_V3,,,,unfriendly_reference_only
LTU,Lithuania,SAI_MGIMO_V3,,,,unfriendly_reference_only
LUX,Luxembourg,SAI_MGIMO_V3,,,,unfriendly_reference_only
MAC,"Macao SAR, China",SAI_MGIMO_V3,,,,special_territory_reference_only
MLT,Malta,SAI_MGIMO_V3,,,,unfriendly_reference_only
FSM,"Micronesia, Fed. Sts.",SAI_MGIMO_V3,,,,unfriendly_reference_only
MCO,Monaco,SAI_MGIMO_V3,,,,unfriendly_reference_only
MNE,Montenegro,SAI_MGIMO_V3,,,,unfriendly_reference_only
NRU,Nauru,SAI_MGIMO_V3,,,,data_unavailable
NLD,Netherlands,SAI_MGIMO_V3,,,,unfriendly_reference_only
NCL,New Caledonia,SAI_MGIMO_V3,,,,special_territory_reference_only
NZL,New Zealand,SAI_MGIMO_V3,,,,unfriendly_reference_only
MKD,North Macedonia,SAI_MGIMO_V3,,,,unfriendly_reference_only
MNP,Northern Mariana Islands,SAI_MGIMO_V3,,,,special_territory_reference_only
NOR,Norway,SAI_MGIMO_V3,,,,unfriendly_reference_only
PNG,Papua New Guinea,SAI_MGIMO_V3,,,,data_unavailable
POL,Poland,SAI_MGIMO_V3,,,,unfriendly_reference_only
PRT,Portugal,SAI_MGIMO_V3,,,,unfriendly_reference_only
PRI,Puerto Rico (US),SAI_MGIMO_V3,,,,special_territory_reference_only
ROU,Romania,SAI_MGIMO_V3,,,,unfriendly_reference_only
RUS,Russian Federation,SAI_MGIMO_V3,,,,domestic_excluded
SMR,San Marino,SAI_MGIMO_V3,,,,unfriendly_reference_only
SGP,Singapore,SAI_MGIMO_V3,,,,unfriendly_reference_only
SXM,Sint Maarten (Dutch part),SAI_MGIMO_V3,,,,special_territory_reference_only
SVK,Slovak Republic,SAI_MGIMO_V3,,,,unfriendly_reference_only
SVN,Slovenia,SAI_MGIMO_V3,,,,unfriendly_reference_only
SLB,Solomon Islands,SAI_MGIMO_V3,,,,data_unavailable
SOM,"Somalia, Fed. Rep.",SAI_MGIMO_V3,,,,data_unavailable
SSD,South Sudan,SAI_MGIMO_V3,,,,data_unavailable
ESP,Spain,SAI_MGIMO_V3,,,,unfriendly_reference_only
MAF,St. Martin (French part),SAI_MGIMO_V3,,,,special_territory_reference_only
SWE,Sweden,SAI_MGIMO_V3,,,,unfriendly_reference_only
CHE,Switzerland,SAI_MGIMO_V3,,,,unfriendly_reference_only
TCA,Turks and Caicos Islands,SAI_MGIMO_V3,,,,unfriendly_reference_only
TUV,Tuvalu,SAI_MGIMO_V3,,,,data_unavailable
UKR,Ukraine,SAI_MGIMO_V3,,,,unfriendly_reference_only
GBR,United Kingdom,SAI_MGIMO_V3,,,,unfriendly_reference_only
USA,United States,SAI_MGIMO_V3,,,,unfriendly_reference_only
VIR,Virgin Islands (US),SAI_MGIMO_V3,,,,special_territory_reference_only
PSE,West Bank and Gaza,SAI_MGIMO_V3,,,,special_territory_reference_only
