origin_iso3,origin_country,region,origin_lat,origin_lon,destination_city,destination_lat,destination_lon,flow_type,modelled_potential_index,stroke_width,SAI_MGIMO_V3_SCORE,rank_practical_student_recruitment,student_recruitment_status,due_diligence_warnings,source,year
TKM,Turkmenistan,Europe & Central Asia,39.855246,58.676647,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,60.4202027886117,2.069874765532375,62.58775076191814,52,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
THA,Thailand,East Asia & Pacific,15.45974,101.073198,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,68.57622070667219,2.2615411866067965,62.58665586030424,53,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
MAR,Morocco,Middle East & North Africa,31.650723,-7.187296,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,67.00917197411106,2.22471554139161,62.426347252949434,54,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
RWA,Rwanda,Sub-Saharan Africa,-1.897196,30.103894,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,64.00322034512635,2.1540756781104693,62.1388630388478,55,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
BEN,Benin,Sub-Saharan Africa,10.324775,2.352018,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,63.821369552611884,2.1498021844863793,62.09206359428174,56,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
IRN,"Iran, Islamic Rep.",Middle East & North Africa,32.166225,54.931495,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,69.37554209059283,2.2803252391289317,62.04681551862843,57,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
SDN,Sudan,Sub-Saharan Africa,16.330746,29.260657,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,68.6264726810082,2.262722108003693,61.9292434336092,58,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
OMN,Oman,Middle East & North Africa,22.120427,57.336553,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,58.13500454056183,2.016172606703203,61.53516340442353,59,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
MDG,Madagascar,Sub-Saharan Africa,-18.628288,46.704241,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,66.36752110473009,2.209636745961157,61.255843403244505,60,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
DZA,Algeria,Middle East & North Africa,27.397406,2.808241,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,66.37787179225344,2.2098799871179557,61.180776489572494,61,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
