iso3,country,factor_key,factor_group,input_key,lineage_type,official_indicator_code,official_indicator_name_en,official_indicator_name_ru,provider,source_name,source_key,source_note,official_url,raw_file,source_manifest_code,latest_observed_year_in_run,year,unit,raw_value,normalized_value,normalization_method,within_factor_weight,factor_weight,scoring_role,weight_note,observation_status
VNM,Viet Nam,I_ECO,economy,sectorDepthScore,derived_component,not_applicable_modelled_component,Sector depth score,Глубина отраслевого спроса,World Bank Indicators API,World Bank World Development Indicators,world_bank_indicators_long,No API key required according to World Bank documentation; V2 endpoint is used,https://api.worldbank.org/v2/country/all/indicator/{indicator},https://api.worldbank.org/v2/country/all/indicator/{indicator},,,2026,0-1,0.0949694450590139,0.0949694450590139,mean(normalized sector depth indicators),0.07,0.14,direct_factor_formula_component,within-factor formula weight,official_or_reference
VNM,Viet Nam,I_FIN,finance,npvExpectedUsd,derived_component,not_applicable_modelled_component,Npv expected usd,Ожидаемая приведённая стоимость,mgimo_branch_platform_project country_master_panel.csv,MGIMO Branch Ranker derived model output,live_merged_features,"Imported as features only; v0.3 recomputes all indices, eligibility and financial outputs.",data/platform_snapshot/country_master_panel.csv,data/platform_snapshot/country_master_panel.csv,,,2026,USD,1261609.741794624,1.0,"robust_norm(raw, positive=True)",0.3,0.16,direct_factor_formula_component,within-factor formula weight,modelled
VNM,Viet Nam,I_FIN,finance,npvPositiveProbability,derived_component,not_applicable_modelled_component,Npv positive probability,Вероятность положительной приведённой стоимости,mgimo_branch_platform_project country_master_panel.csv,MGIMO Branch Ranker derived model output,live_merged_features,"Imported as features only; v0.3 recomputes all indices, eligibility and financial outputs.",data/platform_snapshot/country_master_panel.csv,data/platform_snapshot/country_master_panel.csv,,,2026,USD,0.9,0.9,probability_0_1,0.7,0.16,direct_factor_formula_component,within-factor formula weight,modelled
VNM,Viet Nam,I_FEAS,feasibility,politicalStability,official_indicator,PV.EST,Political Stability and Absence of Violence/Terrorism: Estimate,Политическая стабильность и отсутствие насилия/терроризма,World Bank,"World Bank WGI, LPI and WDI operational indicators",world_bank_wgi_long,Worldwide Governance Indicators,https://data.worldbank.org/indicator/PV.EST,PV.EST.xls,PV.EST,2023.0,2023,0-1,-0.2546651400625702,0.6232372045906096,"robust_norm(raw, positive=True)",0.15,0.14,direct_factor_formula_component,within-factor formula weight,official_or_reference
VNM,Viet Nam,I_FEAS,feasibility,governmentEffectiveness,official_indicator,GE.EST,Government Effectiveness: Estimate,Эффективность государственного управления,World Bank,"World Bank WGI, LPI and WDI operational indicators",world_bank_wgi_long,Worldwide Governance Indicators,https://data.worldbank.org/indicator/GE.EST,GE.EST.xls,GE.EST,2023.0,2023,0-1,0.8852683007717149,0.545789810460943,"robust_norm(raw, positive=True)",0.12,0.14,direct_factor_formula_component,within-factor formula weight,official_or_reference
VNM,Viet Nam,I_FEAS,feasibility,regulatoryQuality,official_indicator,RQ.EST,Regulatory Quality: Estimate,Качество регулирования,World Bank,"World Bank WGI, LPI and WDI operational indicators",world_bank_wgi_long,Worldwide Governance Indicators,https://data.worldbank.org/indicator/RQ.EST,RQ.EST.xls,RQ.EST,2023.0,2023,0-1,-2.678254097700118,0.35808794371051,"robust_norm(raw, positive=True)",0.12,0.14,direct_factor_formula_component,within-factor formula weight,official_or_reference
VNM,Viet Nam,I_FEAS,feasibility,ruleOfLaw,official_indicator,RL.EST,Rule of Law: Estimate,Верховенство права,World Bank,"World Bank WGI, LPI and WDI operational indicators",world_bank_wgi_long,Worldwide Governance Indicators,https://data.worldbank.org/indicator/RL.EST,RL.EST.xls,RL.EST,2023.0,2023,0-1,-0.5983031317591665,0.4745890494219296,"robust_norm(raw, positive=True)",0.12,0.14,direct_factor_formula_component,within-factor formula weight,official_or_reference
VNM,Viet Nam,I_FEAS,feasibility,internetUsersPct,official_indicator,IT.NET.USER.ZS,Individuals using the Internet (% of population),"Пользователи интернета, процент населения",World Bank,"World Bank WGI, LPI and WDI operational indicators",world_bank_wgi_long,ITU World Telecommunication/ICT Indicators Database via World Bank,https://data.worldbank.org/indicator/IT.NET.USER.ZS,IT.NET.USER.ZS.xls,IT.NET.USER.ZS,2025.0,2024,%,84.15,0.8300083648184685,"robust_norm(raw, positive=True)",0.11,0.14,direct_factor_formula_component,within-factor formula weight,official_or_reference
VNM,Viet Nam,I_FEAS,feasibility,urbanPopulationPct,official_indicator,SP.URB.TOTL.IN.ZS,Urban population (% of total population),"Городское население, процент населения",World Bank,"World Bank WGI, LPI and WDI operational indicators",world_bank_wgi_long,World Development Indicators,https://data.worldbank.org/indicator/SP.URB.TOTL.IN.ZS,SP.URB.TOTL.IN.ZS.xls,SP.URB.TOTL.IN.ZS,2024.0,2024,%,38.4900703430176,0.1881269479614599,"robust_norm(raw, positive=True)",0.08,0.14,direct_factor_formula_component,within-factor formula weight,official_or_reference
VNM,Viet Nam,I_FEAS,feasibility,partnerUniversitiesMgimoCount,official_indicator,MGIMO_PARTNER_UNIVERSITIES.COUNT,Partner universities mgimo count,Партнёрские университеты МГИМО,MGIMO,"World Bank WGI, LPI and WDI operational indicators",world_bank_wgi_long,MGIMO partner universities country table,https://mgimo.ru/about/structure/int/docs/partner-universities/,data/reference/mgimo_partner_universities.csv,,,2026,count,3.0,0.5,"robust_norm(log1p(raw), positive=True)",0.07,0.14,direct_factor_formula_component,within-factor formula weight,official_or_reference
VNM,Viet Nam,I_HRSTRAT,strategicHr,digitalFinanceProfileScore,derived_component,not_applicable_modelled_component,Digital finance profile score,Цифровые финансы и бизнес-информатика,mgimo_branch_platform_project country_master_panel.csv,MGIMO Branch Ranker derived model output,live_merged_features,"Imported as features only; v0.3 recomputes all indices, eligibility and financial outputs.",data/platform_snapshot/country_master_panel.csv,data/platform_snapshot/country_master_panel.csv,,,2026,0-1,0.635347449250511,0.635347449250511,prepared_0_1_score,0.2,0.06,direct_factor_formula_component,within-factor formula weight,modelled
VNM,Viet Nam,I_HRSTRAT,strategicHr,economicLegalProfileScore,derived_component,not_applicable_modelled_component,Economic legal profile score,Экономико-правовой профиль,mgimo_branch_platform_project country_master_panel.csv,MGIMO Branch Ranker derived model output,live_merged_features,"Imported as features only; v0.3 recomputes all indices, eligibility and financial outputs.",data/platform_snapshot/country_master_panel.csv,data/platform_snapshot/country_master_panel.csv,,,2026,0-1,0.4789220785758553,0.4789220785758553,prepared_0_1_score,0.15,0.06,direct_factor_formula_component,within-factor formula weight,modelled
VNM,Viet Nam,I_HRSTRAT,strategicHr,energyLogisticsProfileScore,derived_component,not_applicable_modelled_component,Energy logistics profile score,Энергетика и логистика,mgimo_branch_platform_project country_master_panel.csv,MGIMO Branch Ranker derived model output,live_merged_features,"Imported as features only; v0.3 recomputes all indices, eligibility and financial outputs.",data/platform_snapshot/country_master_panel.csv,data/platform_snapshot/country_master_panel.csv,,,2026,0-1,0.9239125909653574,0.9239125909653574,prepared_0_1_score,0.15,0.06,direct_factor_formula_component,within-factor formula weight,modelled
CHN,China,I_MARKET,market,addressableMarketStudents2026,derived_component,not_applicable_modelled_component,Addressable market students2026,"Адресуемый пул студентов, 2026",UN World Population Prospects 2024,UN World Population Prospects 2024,un_wpp2024_population_by_single_age_sex,Local official WPP 2024 PopulationBySingleAgeSex bulk files are used; PopMale/PopFemale/PopTotal are multiplied by 1000,https://population.un.org/wpp/,https://population.un.org/wpp/,,,2026,people,40042687.00524328,1.0,"robust_norm(log1p(raw), positive=True)",0.5,0.22,direct_factor_formula_component,within-factor formula weight,official_or_reference
CHN,China,I_MARKET,market,addressableMarketStudents2035,derived_component,not_applicable_modelled_component,Addressable market students2035,"Адресуемый пул студентов, 2035",UN World Population Prospects 2024,UN World Population Prospects 2024,un_wpp2024_population_by_single_age_sex,Local official WPP 2024 PopulationBySingleAgeSex bulk files are used; PopMale/PopFemale/PopTotal are multiplied by 1000,https://population.un.org/wpp/,https://population.un.org/wpp/,,,2035,people,41080277.68625977,1.0,"robust_norm(log1p(raw), positive=True)",0.15,0.22,direct_factor_formula_component,within-factor formula weight,official_or_reference
CHN,China,I_MARKET,market,addressableMarketStudents2050,derived_component,not_applicable_modelled_component,Addressable market students2050,"Адресуемый пул студентов, 2050",UN World Population Prospects 2024,UN World Population Prospects 2024,un_wpp2024_population_by_single_age_sex,Local official WPP 2024 PopulationBySingleAgeSex bulk files are used; PopMale/PopFemale/PopTotal are multiplied by 1000,https://population.un.org/wpp/,https://population.un.org/wpp/,,,2050,people,19937717.31681206,1.0,"robust_norm(log1p(raw), positive=True)",0.1,0.22,direct_factor_formula_component,within-factor formula weight,official_or_reference
CHN,China,I_MARKET,market,amsGrowth2026_2035,derived_component,not_applicable_modelled_component,Ams growth2026 2035,Рост адресуемого пула 2026-2035,UN World Population Prospects 2024,UN World Population Prospects 2024,un_wpp2024_population_by_single_age_sex,Local official WPP 2024 PopulationBySingleAgeSex bulk files are used; PopMale/PopFemale/PopTotal are multiplied by 1000,https://population.un.org/wpp/,https://population.un.org/wpp/,,,2026,%,0.025912114261478658,0.3953372009515528,"robust_norm(raw growth, positive=True)",0.08,0.22,direct_factor_formula_component,within-factor formula weight,official_or_reference
CHN,China,I_MARKET,market,amsGrowth2026_2050,derived_component,not_applicable_modelled_component,Ams growth2026 2050,Рост адресуемого пула 2026-2050,UN World Population Prospects 2024,UN World Population Prospects 2024,un_wpp2024_population_by_single_age_sex,Local official WPP 2024 PopulationBySingleAgeSex bulk files are used; PopMale/PopFemale/PopTotal are multiplied by 1000,https://population.un.org/wpp/,https://population.un.org/wpp/,,,2026,%,-0.5020884259290249,0.0,"robust_norm(raw growth, positive=True)",0.07,0.22,direct_factor_formula_component,within-factor formula weight,official_or_reference
CHN,China,I_MARKET,market,educationScore,derived_component,not_applicable_modelled_component,Education score,Образовательный контекст,UN World Population Prospects 2024,UN World Population Prospects 2024,un_wpp2024_population_by_single_age_sex,Local official WPP 2024 PopulationBySingleAgeSex bulk files are used; PopMale/PopFemale/PopTotal are multiplied by 1000,https://population.un.org/wpp/,https://population.un.org/wpp/,,,2026,0-1,0.78538936026636,0.78538936026636,prepared_0_1_score,0.05,0.22,direct_factor_formula_component,within-factor formula weight,official_or_reference
CHN,China,I_MARKET,market,educationHubScore,derived_component,not_applicable_modelled_component,Education hub score,Позиция образовательного центра,UN World Population Prospects 2024,UN World Population Prospects 2024,un_wpp2024_population_by_single_age_sex,Local official WPP 2024 PopulationBySingleAgeSex bulk files are used; PopMale/PopFemale/PopTotal are multiplied by 1000,https://population.un.org/wpp/,https://population.un.org/wpp/,,,2026,0-1,0.5,0.5,prepared_0_1_score,0.05,0.22,direct_factor_formula_component,within-factor formula weight,official_or_reference
