rank_practical_student_recruitment,rank_reference_all,iso3,country,region,income_group,student_recruitment_status,SAI_MGIMO_V3_SCORE,A_YOUTH_OPPORTUNITY,A_OUTBOUND_MOBILITY_UIS,A_LEGAL_PARTNERSHIP_CONTEXT,A_PROGRAM_RELEVANCE,A_AFFORDABILITY_ACCESS,A_DIGITAL_REACH,A_DATAQ,pop_15_24_latest,pop_15_24_latest_year,pop_15_24_base_year,pop_15_24_growth_10y_pct,student_pool_latest,student_pool_latest_year,uis_outbound_mobility_ratio,uis_outbound_mobility_year,uis_source_key,uis_observation_status,internet_users_pct,gdp_pc_ppp_current,program_relevance_score,dataq_required_available,dataq_required_total,score_source_policy,is_unfriendly_430r,is_domestic_russia,is_non_sovereign_or_special,has_existing_mgimo_presence,in_preparation,has_required_open_data,due_diligence_warnings,latitude,longitude
72,72,LBY,Libya,Middle East & North Africa,Upper middle income,practical_priority_pool,58.80744580525983,0.657782928861288,0.0,1.0,0.467902303909151,0.4936641958639911,0.803273938934569,1.0,1283129.0,2024,2014,18.055092971689856,1529877.05,2024,0.7053200006484985,2003.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,81.95449829,12583.83387268161,0.467902303909151,6,6,open_api_factual_only,False,False,False,False,False,True,,26.638944,18.011015
73,73,VEN,"Venezuela, RB",Latin America & Caribbean,,practical_priority_pool,58.70548349779862,0.6495550308378171,8.907473733618187e-06,1.0,0.4068795894006192,0.6694031363714056,0.7390334757236607,1.0,5040438.0,2024,2014,-7.549283963560704,5867017.8,2024,0.7811800241470337,2009.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,76.67890167,23134.759094596546,0.4068795894006192,6,6,open_api_factual_only,False,False,False,False,False,True,,7.182476,-64.599381
74,74,DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,practical_priority_pool,58.54967003897246,0.6000209264555586,0.0040393224839832195,1.0,0.5917118420221565,0.6827516180604597,0.913447527977695,1.0,1941024.0,2024,2014,-0.9408209102614529,2355600.0,2024,1.038190007209778,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,91.0022446,24229.889487291515,0.5917118420221565,6,6,open_api_factual_only,False,False,False,False,False,True,,19.104137,-70.653998
75,75,SLE,Sierra Leone,Sub-Saharan Africa,Low income,practical_priority_pool,58.43873783853953,0.7452775952699422,0.1430390125032243,1.0,0.2383266989395772,0.089254893275706,0.11102273095499711,1.0,1783846.0,2024,2014,30.10080765735608,2108344.15,2024,9.901869773864746,2002.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,25.10499954,3098.762906096628,0.2383266989395772,6,6,open_api_factual_only,False,False,False,False,False,True,,8.617449,-11.763677
76,76,CHL,Chile,Latin America & Caribbean,High income,practical_priority_pool,58.36937561013145,0.5795192485540167,0.01196763962500504,1.0,0.6059672224590582,0.7461554149185371,0.9693151698117111,1.0,2542694.0,2024,2014,-9.836071968196636,3237690.2,2024,1.543759942054749,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,95.590243,30182.78712247137,0.6059672224590582,6,6,open_api_factual_only,False,False,False,False,False,True,,-38.151771,-72.318871
77,77,GMB,"Gambia, The",Sub-Saharan Africa,Low income,practical_priority_pool,58.13939467216896,0.6210943848083806,0.38204024693573563,1.0,0.3534460918782277,0.0854044253077597,0.4080090484764465,1.0,561649.0,2024,2014,25.037623780009977,664113.55,2024,25.14241027832031,2012.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,49.49430084,3057.6841774689096,0.3534460918782277,6,6,open_api_factual_only,False,False,False,False,False,True,,13.641721,-14.998318
78,78,KHM,Cambodia,East Asia & Pacific,Lower middle income,practical_priority_pool,57.731691575673594,0.6288567749519307,0.035353334400831854,1.0,0.6522526428661232,0.32477038638235683,0.6391390041101565,1.0,3031529.0,2024,2014,-2.869697974589047,3625191.95,2024,3.035010099411011,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,68.47530365,7008.889345517265,0.6522526428661232,6,6,open_api_factual_only,False,False,False,False,False,True,,12.647584,104.50487
79,79,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,practical_priority_pool,57.60055040313408,0.5117491328072173,0.2738431854720623,1.0,0.506583344341208,0.6558327828794719,0.9109848358034275,1.0,1403449.0,2024,2014,-13.235431399714503,1739091.85,2024,18.24294090270996,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,90.80000181,22072.14911571765,0.506583344341208,6,6,open_api_factual_only,False,False,False,False,False,True,,40.402387,47.210994
80,80,PAN,Panama,Latin America & Caribbean,High income,practical_priority_pool,57.22886766423547,0.567318057595096,0.029732140446275503,1.0,0.6025508150461166,0.800171739995106,0.6914533942501746,1.0,723448.0,2024,2014,9.664676340892942,879671.35,2024,2.676559925079346,2022.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,72.77149963,36394.91752911465,0.6025508150461166,6,6,open_api_factual_only,False,False,False,False,False,True,,8.72198,-80.352106
81,81,MMR,Myanmar,East Asia & Pacific,Lower middle income,practical_priority_pool,57.12131240277243,0.7236448753560432,0.006004896546439375,1.0,0.2438859340810682,0.2428278283396539,0.35873396188519413,1.0,8899146.0,2024,2014,-2.411896626954735,10875643.2,2024,1.163529992103577,2018.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,45.4477005,5276.294339878527,0.2438859340810682,6,6,open_api_factual_only,False,False,False,False,False,True,,21.573855,95.804497
82,82,HND,Honduras,Latin America & Caribbean,Lower middle income,practical_priority_pool,56.97180232951352,0.6649512292683368,0.02003035216440318,1.0,0.4357834482037299,0.30680478309387865,0.519164736818279,1.0,2120899.0,2024,2014,10.724672939449365,2565364.0,2024,2.057899951934814,2019.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,58.62269974,6585.855357178611,0.4357834482037299,6,6,open_api_factual_only,False,False,False,False,False,True,,14.794801,-86.887604
83,83,KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,practical_priority_pool,56.87596013605104,0.5700956811107006,0.07758997334287061,1.0,0.6834317985908639,0.32641675533246084,0.9259453965770993,1.0,1138223.0,2024,2014,2.303627651800788,1382872.25,2024,5.728340148925781,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,92.0286026,7048.989521112644,0.6834317985908639,6,6,open_api_factual_only,False,False,False,False,False,True,,41.66854,74.532637
