iso3,country,recommended_format,capacity_students,capex_usd,capex_base_usd_for_diag,cost_factor,risk_premium,capex_rub,avg_tuition_usd,students_year_1,students_year_10,capture_ceiling,demand_pool_students,host_subsidy_share,annual_revenue_year_10_usd,annual_opex_year_10_usd,cashflow_year_10_usd,npv_10y_usd,npv_10y_rub,npv_expected_usd,npv_expected_rub,npv_p10_usd,npv_p90_usd,npv_positive_probability,payback_years,margin_year_10,breakeven_students,discount_rate
GRC,Greece,partner_embedded_branch,600,2054012.0567184195,1736558.4086066433,0.8141910537019308,0.0752783659169184,150906006.3938399,6125.36131165155,25.0,50.590108523648475,9.835200363274228e-05,514645.9430330631,0.08,417487.3857628893,698310.5812670372,-224958.34900278493,-4126311.040026933,-303155533.1686348,-4364655.046470276,-320666405.1436201,-4943417.418328175,-3900613.0687246984,0.0,inf,-0.7259467976729719,138.93686554467342,0.11
GRD,Grenada,partner_embedded_branch,600,1895999.7091417613,1589503.5595268146,0.694725560510135,0.08438643555658255,139297013.03096515,5542.632688729044,25.0,0.7661009721520622,0.00014592944231662193,5252.538507751599,0.08,124076.36763947243,543290.8808411981,-375751.2427344299,-4397171.691681159,-323055367.2989539,-4167747.705810239,-306199839.4234019,-4495756.578220076,-3663092.5252411566,0.0,inf,-88.49083913141294,129.93071832749524,0.11
GRL,Greenland,partner_embedded_branch,600,2292842.570718833,2007704.5376824872,1.0385232828842192,0.038201736308852714,168452621.54388487,6764.270197355363,25.0,0.4069639506156097,0.0001508304240850245,2699.5609840167936,0.08,122642.70155764528,776998.9648887623,-592196.3461400161,-6051492.161763653,-444596472.48339766,-6464700.665924708,-474954446.75475585,-7395381.29930091,-5540814.685770284,0.0,inf,-215.12398577498544,162.40157409417964,0.11
GTM,Guatemala,partner_embedded_branch,600,1812591.2162167556,1455208.7833814526,0.5776964040180603,0.13235311343550898,133169082.8051072,5273.787526273852,25.0,21.1772732221648,0.00012858497061521277,164780.5636859744,0.08,227217.06178516414,491178.7087005825,-224667.35021937173,-3598150.290111129,-264352143.84914556,-3492577.64173235,-256595837.50266987,-4048738.0154087725,-3076220.1397467,0.0,inf,-2.0116262525713147,114.60685125644076,0.11
GUM,Guam,partner_embedded_branch,600,1788198.8456775208,1545227.092396358,0.6657743723299475,0.052036507935694774,131377002.17319722,5347.510481114441,25.0,0.2777138646112008,0.00014082989150211202,1973.008115851551,0.08,121425.67468968882,504606.71730906854,-342812.50523465424,-4094329.6115142684,-300805892.79538065,-4217797.111844365,-309876914.23038244,-4659157.204115443,-3777249.46198835,0.0,inf,-230.83807786269884,124.97926869854416,0.11
GUY,Guyana,partner_embedded_branch,600,2235965.850122295,1816520.722120857,0.8694155274107683,0.11900525142958678,164273951.44604987,6864.9246085225395,25.0,3.2899775137695038,0.00017074577664512913,19278.316842065604,0.08,141682.0296919316,705193.5793431439,-507096.0633037607,-5516445.346162892,-405287171.4927069,-5475478.345996162,-402277371.05415744,-6171238.670414095,-4790209.481338617,0.0,inf,-22.452336229055394,135.86156867319593,0.11
HKG,"Hong Kong SAR, China",partner_embedded_branch,600,2214852.557294743,1969223.9639881938,1.0108821346284431,0.022485182810559376,162722781.04663175,6829.043211186046,25.0,67.21285993274648,0.0001777588884934254,378309.4618643691,0.08,560639.5438349962,856308.703925795,-227164.46377673524,-4498640.290172007,-330510153.6146182,-4495614.873219984,-330287879.55911165,-5298058.711333793,-3615673.9583817143,0.0,inf,-0.4949121981374605,152.25284692134494,0.11
HND,Honduras,partner_embedded_branch,600,1719319.638855803,1374828.1464463775,0.5124860472258854,0.1368823496560831,126316522.61513312,4931.352428725275,25.0,5.136257577473813,0.00012828556605498225,40058.54348952732,0.08,144315.54842806474,423841.395472641,-245618.53540676498,-3495516.1334424443,-256811725.2562696,-3403345.815724435,-250040073.40087694,-3828485.2968328292,-3055261.161301725,0.0,inf,-9.697243501953833,107.88184628535312,0.11
HRV,Croatia,partner_embedded_branch,600,2033955.629899641,1728316.9888105062,0.8086823595431676,0.06985615752618649,149432482.77753374,6245.580381534277,25.0,15.012623431602796,9.849150564749542e-05,152504.96006480785,0.08,210012.04452458903,642956.8694951881,-381508.27541098406,-4695629.378213078,-344982725.22499883,-5189521.514499762,-381268437.1966316,-5766150.3009739155,-4502698.05277435,0.0,inf,-4.068877074495236,133.63387784550102,0.11
HTI,Haiti,partner_embedded_branch,600,1894944.3536836503,1465084.5174876358,0.5769034764124288,0.1758206878883988,139219477.22634873,4586.9532603730495,25.0,0.05957255893761369,0.0001022409825592761,582.9715962894126,0.08,120262.32628170974,488457.93715291616,-329118.9758989731,-4131949.7123275814,-303569800.2200239,-3978240.270904228,-292276936.63903564,-4260068.931965983,-3637213.2226187196,0.0,inf,-1204.4321857640045,141.5005907003923,0.11
