iso3,country,format,capacity_students,capex_usd,capex_base_usd_for_diag,cost_factor,risk_premium,capex_rub,avg_tuition_usd,students_year_1,students_year_10,capture_ceiling,demand_pool_students,host_subsidy_share,annual_revenue_year_10_usd,annual_opex_year_10_usd,cashflow_year_10_usd,npv_10y_usd,npv_10y_rub,npv_expected_usd,npv_expected_rub,npv_p10_usd,npv_p90_usd,npv_positive_probability,payback_years,margin_year_10,breakeven_students,discount_rate
NAM,Namibia,flagship_regional_hub,2500,20109063.7567203,16713210.575792257,0.5281555293805047,0.09380342984743001,1477390794.2361083,5159.61299236151,75.0,2.419645659149539,0.00013500356331005016,18212.523642947748,0.0,961985.0577726647,3239072.2879894404,-2277087.2302167756,-36309993.663884565,-2667655293.492569,-37767668.47449063,-2774749058.3855047,-40604561.4900255,-35471962.375230104,0.0,inf,-182.39409291742396,975.6221367476682,0.11
LBN,Lebanon,partner_embedded_branch,600,1762130.0468096363,1396849.0551909578,0.5281149617004173,0.14682141226174483,129461756.19605249,5210.707387628909,25.0,9.20898043898103,0.000122186875488623,75407.25738396532,0.08,166065.89030969143,444095.16385448084,-242501.66043643095,-3551533.4330074466,-260927254.6362808,-3456892.1198125137,-253974061.4612936,-3879147.578355605,-3108589.1687660515,0.0,inf,-5.053665357467248,105.56335706120933,0.11
LBN,Lebanon,urban_standard_branch,1400,5836913.333934329,4626949.577586129,0.5281149617004173,0.14682141226174483,428831602.0394879,5210.707387628909,40.0,9.184834729666669,0.000122186875488623,75407.25738396532,0.0,365945.1067328237,1131130.487506847,-765185.3807740232,-11300438.46800119,-830230783.7617327,-11266243.071381422,-827718485.5870146,-12469588.810936172,-10132740.557198618,0.0,inf,-15.988165395168659,291.75383382864743,0.11
LBN,Lebanon,flagship_regional_hub,2500,21169646.915008225,16781282.03164903,0.5281149617004173,0.14682141226174483,1555310672.234048,5210.707387628909,75.0,9.067219220119009,0.000122186875488623,75407.25738396532,0.0,995356.761128504,3406504.3146040505,-2411147.5534755467,-38223906.3053738,-2808268349.9588776,-38972203.85485287,-2863244947.7918,-43973942.34299232,-32738063.406232156,0.0,inf,-51.03322181181663,1007.8859376686047,0.11
BOL,Bolivia,partner_embedded_branch,600,1730164.4369693892,1392509.425668531,0.5281021740234076,0.129526832557086,127113278.00326037,5210.651656607469,25.0,10.995599222880728,0.00011988882466073376,91762.73593005525,0.08,175002.46781385146,439065.234401227,-228937.54783527736,-3454835.026140857,-253822929.05204004,-3347723.6931375857,-245953577.23875597,-3692913.359270456,-2924723.829663315,0.0,inf,-3.9958215450565358,103.9697124128158,0.11
BOL,Bolivia,urban_standard_branch,1400,5736988.962470689,4617371.062828117,0.5281021740234076,0.129526832557086,421490268.38486284,5210.651656607469,40.0,10.966769045171905,0.00011988882466073376,91762.73593005525,0.0,374858.2527611422,1116276.779463155,-741418.5267020128,-11077649.62443132,-813862732.4923822,-10911827.590535963,-801679970.0663277,-12605273.969555197,-9580029.084972247,0.0,inf,-12.974561707843797,287.34899577302997,0.11
BOL,Bolivia,flagship_regional_hub,2500,20822130.907116797,16758530.536815772,0.5281021740234076,0.129526832557086,1529779053.4018734,5210.651656607469,75.0,10.826335148721576,0.00011988882466073376,91762.73593005525,0.0,1004155.7707305668,3358155.199489668,-2353999.4287591013,-37557505.11982895,-2759308587.898201,-37542704.92598044,-2758221233.9363647,-41538701.915878385,-31529790.243931063,0.0,inf,-41.72850688159868,992.6666188305718,0.11
SLV,El Salvador,partner_embedded_branch,600,1737061.6206313835,1430643.3290537656,0.5637542688418214,0.10380197200595578,127620006.50000507,5227.450782536248,25.0,7.8927097632306635,0.000132715984397555,59501.656233798625,0.08,159608.40175500634,455378.36860144115,-259339.6973583195,-3614717.5750411833,-265569324.04894322,-3582618.008273702,-263211004.1880598,-4032230.4573376123,-3269805.771991156,0.0,inf,-6.285689359644974,109.59375598713895,0.11
SLV,El Salvador,urban_standard_branch,1400,5814248.862935197,4788613.282580747,0.5637542688418214,0.10380197200595578,427166468.2860997,5227.450782536248,40.0,7.872015281696215,0.000132715984397555,59501.656233798625,0.0,359504.5495466626,1160968.5271803772,-801463.9776337146,-11479845.872999186,-843411648.45879,-11256079.661442462,-826971791.0385501,-12538179.592982803,-10040142.721542265,0.0,inf,-19.476374932956727,304.7053306178184,0.11
SLV,El Salvador,flagship_regional_hub,2500,21216354.787113715,17473782.209285993,0.5637542688418214,0.10380197200595578,1558742248.218979,5227.450782536248,75.0,7.771210954152559,0.000132715984397555,59501.656233798625,0.0,988998.6778721975,3498310.477959887,-2509311.8000876894,-38839894.49287845,-2853524324.507838,-39217883.50037737,-2881294761.1008754,-42209747.14408133,-36440788.73280773,0.0,inf,-61.76976911828943,1065.4336211812442,0.11
GUY,Guyana,partner_embedded_branch,600,2235965.850122295,1816520.722120857,0.8694155274107683,0.11900525142958678,164273951.44604987,6864.9246085225395,25.0,3.2899775137695038,0.00017074577664512913,19278.316842065604,0.08,141682.0296919316,705193.5793431439,-507096.0633037607,-5516445.346162892,-405287171.4927069,-5475478.345996162,-402277371.05415744,-6171238.670414095,-4790209.481338617,0.0,inf,-22.452336229055394,135.86156867319593,0.11
GUY,Guyana,urban_standard_branch,1400,7861073.429760774,6386413.630822268,0.8694155274107683,0.11900525142958678,577544417.7037513,6864.9246085225395,40.0,3.2813512775401374,0.00017074577664512913,19278.316842065604,0.0,341625.17996901646,1806105.2876205677,-1464480.1076515513,-17362940.089107033,-1275636109.1125958,-17886899.16174117,-1314130805.824046,-18859297.13987651,-16525790.134052068,0.0,inf,-65.01221748719765,384.77505986032213,0.11
GUY,Guyana,flagship_regional_hub,2500,29433951.791571688,23912432.902484596,0.8694155274107683,0.11900525142958678,2162480060.7798014,6864.9246085225395,75.0,3.23933225228036,0.00017074577664512913,19278.316842065604,0.0,971348.2608261057,5456861.638595195,-4485513.377769088,-58615396.93286699,-4306408735.721112,-59762919.63806728,-4390715966.597201,-69228661.6337628,-53978325.19421411,0.0,inf,-201.70696234854915,1398.6998524283977,0.11
HND,Honduras,partner_embedded_branch,600,1719319.638855803,1374828.1464463775,0.5124860472258854,0.1368823496560831,126316522.61513312,4931.352428725275,25.0,5.136257577473813,0.00012828556605498225,40058.54348952732,0.08,144315.54842806474,423841.395472641,-245618.53540676498,-3495516.1334424443,-256811725.2562696,-3403345.815724435,-250040073.40087694,-3828485.2968328292,-3055261.161301725,0.0,inf,-9.697243501953833,107.88184628535312,0.11
HND,Honduras,urban_standard_branch,1400,5677856.497924258,4540212.73788545,0.5124860472258854,0.1368823496560831,417145871.26034755,4931.352428725275,40.0,5.122790442512335,0.00012828556605498225,40058.54348952732,0.0,344251.79368691245,1083653.0208160568,-739401.2271291444,-10955975.095946984,-804923438.7266195,-10850269.385535996,-797157356.4590056,-11586360.26814212,-10220248.965323476,0.0,inf,-29.268976439752453,298.86002235594145,0.11
HND,Honduras,flagship_regional_hub,2500,20559573.056947686,16440154.046296503,0.5124860472258854,0.1368823496560831,1510489216.963584,4931.352428725275,75.0,5.057191046776247,0.00012828556605498225,40058.54348952732,0.0,973941.2396970058,3270797.906136137,-2296856.666439131,-36911989.46197611,-2711883262.582977,-35973982.61928647,-2642968931.658096,-39291651.09708074,-32656942.50683432,0.0,inf,-92.09975872959185,1037.315521532974,0.11
NER,Niger,partner_embedded_branch,600,1691506.3272146154,1306701.3218710679,0.45,0.17680528748427135,124273109.20349787,4444.444998521231,25.0,0.4904987631563597,0.00012265385105591231,4001.1320280154227,0.08,122092.79498370348,381649.10847654747,-229024.3848147202,-3340897.904806999,-245452094.07847494,-3245348.5276241465,-238432186.4411657,-3440401.485690998,-3087412.5343051013,0.0,inf,-105.05730906954533,108.1914936665021,0.11
